Basin,Region,Site,Reference,Longitude,Latitude,Age,RSL,Age_err,RSL_err
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,2014.261,0,6.739,0.277354163
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1994.71,0.022085251,17.29,0.316918938
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1976.386,-0.083483247,22.639,0.304674599
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1946.34,0.298674474,14.685,0.366335543
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1927.396,0.103584483,21.604,0.35106124
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1911.448,0.01729185,26.552,0.296458515
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1892.646,-0.025765312,31.354,0.28218608
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1879.254,-0.085119639,32.746,0.256818444
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1868.671,-0.133249006,33.329,0.254557233
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1857.923,-0.136776921,35.077,0.238231537
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1843.808,-0.144174629,36.217,0.264694945
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1831.225,-0.102213265,35.8,0.323010796
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1821.9,-0.047152612,38.1,0.321102163
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1813.393,-0.135525894,39.607,0.315387807
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1804.735,-0.200044044,42.265,0.24373469
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1795.418,-0.242467824,43.607,0.234221369
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1782.244,-0.318523578,46.756,0.229711517
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1767.549,-0.310973667,52.501,0.227124923
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1756.828,-0.306611229,61.172,0.226745489
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1747.036,-0.266235122,66.964,0.321751148
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1737.151,-0.392025011,73.874,0.298610528
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1727.432,-0.236155984,82.593,0.354805975
North Atlantic,Ireland,Dungarvan,Alvarez et al (In progress),-7.591936864,52.10367949,1718.006,-0.481129021,89.994,0.319757831
