"Basin","Region","Site","Reference","Latitude","Longitude","RSL","Age","RSL_err","Age_err"
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,0.09,1996,0.18,0.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,0.05,1990,0.21,1
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,0.06,1985,0.18,1.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,0.07,1977,0.19,2
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,0.08,1969,0.19,2.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.01,1960,0.22,3.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,0.02,1948,0.23,5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.04,1935,0.24,6.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.06,1922,0.31,9
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.14,1908,0.22,12.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,0.08,1894,0.26,17
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.23,1879,0.3,21.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.09,1870,0.28,24
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.04,1858,0.33,28
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.09,1844,0.2,33.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.13,1831,0.25,33.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.19,1818,0.2,36
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.15,1801,0.27,40.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.1,1785,0.2,39
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.07,1769,0.2,40
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.32,1730,0.22,41.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.35,1683,0.22,48
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.42,1613,0.15,56
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.41,1551,0.14,59.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.61,1495,0.16,63
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.48,1411,0.19,35.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.54,1359,0.23,32
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.72,1324,0.16,39
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.61,1296,0.18,41
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.84,1266,0.16,45
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.74,1237,0.17,48.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.51,1176,0.13,47
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.75,1121,0.15,51
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.91,1064,0.18,60.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-1.01,1006,0.18,65
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.82,952,0.15,68.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.98,895,0.17,72.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.92,839,0.2,71
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.92,783,0.19,67
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.88,726,0.21,63.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-0.96,675,0.2,58
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-1.12,627,0.18,55.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-1.13,576,0.21,58
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-1.19,525,0.21,56.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-1.28,474,0.21,53.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-1.32,427,0.17,57.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-1.42,385,0.19,62.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-1.41,341,0.17,65.5
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-1.46,296,0.19,69.5
